№;Назва підприємства;Валова продукція, грн.;Число робітників, тис. чол.;Продуктивність, Грн./чол.
1;"Газмяс";1000000.0;7.0;142.85715
2;"Газвес";6.5464656E7;10.0;6546.466
5;"Аз Есмь";4.6456458E9;15.0;309709.72
4;"Жи Есть";7.8664232E7;13.0;6051.0947
5;"Аз Есмь";4.6456458E9;15.0;309709.72
6;"Ши Есть";4.4676542E10;20.0;2233827.0
7;"Кто Сдесь";5.6754647E10;27.0;2102024.0
8;"Не Лезь";4.5645623E10;52.0;877800.44
9;;;;
10;"Азбест";4.6546464E7;11.0;4231.4966
11;"Взрывсмесь";4.6789622E9;23.0;203433.14
12;"Спит Лес";7.8623261E10;65.0;1209588.6
